"ID","Title","Created By","Created On","Estimate","Forecast","Priority","References","Section","Section Depth","Section Description","Suite","Suite ID","Type","Updated By","Updated On"
"C1","Kryteria oceny defektów","asdfgg aswdfgb","3/10/2022 6:48 PM","","","Medium","","Test Cases","0","","Master","S1","Other","asdfgg aswdfgb","3/10/2022 6:48 PM"
"C2","Zdefiniowanie ilości aplikacji","asdfgg aswdfgb","3/10/2022 6:48 PM","","","Medium","","Test Cases","0","","Master","S1","Other","asdfgg aswdfgb","3/10/2022 6:48 PM"
"C3","W każdym zadaniu w aplikacji ma być dokładnie 1 defekt","asdfgg aswdfgb","3/10/2022 6:48 PM","","","Medium","","Test Cases","0","","Master","S1","Other","asdfgg aswdfgb","3/10/2022 6:48 PM"
"C4","brak możliwości raportowania defektów w trybie członka drużyny","asdfgg aswdfgb","3/10/2022 6:48 PM","","","Medium","","Test Cases","0","","Master","S1","Other","asdfgg aswdfgb","3/10/2022 6:48 PM"
"C5","Sprawdzenie różnic pomiędzy poszczególnymi wersjami aplikacji","asdfgg aswdfgb","3/10/2022 6:48 PM","","","Medium","","Test Cases","0","","Master","S1","Other","asdfgg aswdfgb","3/10/2022 6:48 PM"
"C6","Odpowiednia ilość błędów w zadaniach i możliwość ich zaraportowania","asdfgg aswdfgb","3/10/2022 6:48 PM","","","Medium","","Test Cases","0","","Master","S1","Other","asdfgg aswdfgb","3/10/2022 6:48 PM"
"C7","W aplikacji publicznej powinno być nie mniej niż 15 zadań","asdfgg aswdfgb","3/10/2022 6:48 PM","","","Medium","","Test Cases","0","","Master","S1","Other","asdfgg aswdfgb","3/10/2022 6:48 PM"
"C8","w wersji demonstracyjnej ma być tylko jedno zadanie","asdfgg aswdfgb","3/10/2022 6:48 PM","","","Medium","","Test Cases","0","","Master","S1","Other","asdfgg aswdfgb","3/10/2022 6:48 PM"
"C9","Brak możliwośći zmiany trybu pracy podczas działania aplikacji","asdfgg aswdfgb","3/10/2022 6:48 PM","","","Medium","","Test Cases","0","","Master","S1","Other","asdfgg aswdfgb","3/10/2022 6:48 PM"
"C10","Tworzenie i wczytywanie kopii zapasowej podczas klikania przycisku ""Znalazłem defekt"" i ponownym uruchamianiu programu","asdfgg aswdfgb","3/10/2022 6:48 PM","","","Medium","","Test Cases","0","","Master","S1","Other","asdfgg aswdfgb","3/10/2022 6:48 PM"
"C11","Sprawdzenie wyświetlonego czasu do końca trwania każdej rundy","asdfgg aswdfgb","3/10/2022 6:48 PM","","","Medium","","Test Cases","0","","Master","S1","Other","asdfgg aswdfgb","3/10/2022 6:48 PM"
"C12","Prezentacja poleceń","asdfgg aswdfgb","3/10/2022 6:48 PM","","","Medium","","Test Cases","0","","Master","S1","Other","asdfgg aswdfgb","3/10/2022 6:48 PM"
"C13","Raportowanie defektu - happy path","asdfgg aswdfgb","3/10/2022 6:48 PM","","","Medium","","Test Cases","0","","Master","S1","Other","asdfgg aswdfgb","3/10/2022 6:48 PM"
"C14","Potwierdzenie zakończenia pracy aplikacji Mrbuggy3","asdfgg aswdfgb","3/10/2022 6:48 PM","","","Medium","","Test Cases","0","","Master","S1","Other","asdfgg aswdfgb","3/10/2022 6:48 PM"
"C15","Okno z zadaniem o nr 2 zawierającym defekt dla całkowitego pokrycia prostokątów","asdfgg aswdfgb","3/10/2022 6:48 PM","","","Medium","","Test Cases","0","","Master","S1","Other","asdfgg aswdfgb","3/10/2022 6:48 PM"
"C16","Aplikacja ma być w języku polskim","asdfgg aswdfgb","3/10/2022 6:48 PM","","","Medium","","Test Cases","0","","Master","S1","Other","asdfgg aswdfgb","3/10/2022 6:48 PM"
"C29","Usuwanie produktu z koszyka","asdfgg aswdfgb","3/14/2022 5:37 PM","","","Medium","","web store","0","","Master","S1","Other","asdfgg aswdfgb","3/14/2022 5:37 PM"
"C30","Zmniejszanie i zwiększanie ilości danego produktu w koszyku","asdfgg aswdfgb","3/14/2022 5:37 PM","","","Medium","","web store","0","","Master","S1","Other","asdfgg aswdfgb","3/14/2022 5:37 PM"
"C31","Dodanie wielu róznych produktów","asdfgg aswdfgb","3/14/2022 5:37 PM","","","Medium","","web store","0","","Master","S1","Other","asdfgg aswdfgb","3/14/2022 5:37 PM"
"C35","Test eksploracyjny Sklepu","asdfgg aswdfgb","3/14/2022 6:53 PM","","","Medium","","web store","0","","Master","S1","Other","asdfgg aswdfgb","3/14/2022 6:53 PM"
